205;3347cb;\x89\x45\xc8;mov dword ptr [ebp-0x38], eax
206;3347ce;\x89\x55\xcc;mov dword ptr [ebp-0x34], edx
207;3347d1;\x8b\x55\xc8;mov edx, dword ptr [ebp-0x38]
208;3347d4;\x8b\x45\xcc;mov eax, dword ptr [ebp-0x34]
209;3347d7;\x83\xe2\x06;and edx, 0x6
210;3347da;\x83\xe0\x00;and eax, 0x0
211;3347dd;\x89\x55\xc0;mov dword ptr [ebp-0x40], edx
212;3347e0;\x89\x45\xc4;mov dword ptr [ebp-0x3c], eax
213;3347e3;\x83\x7d\xc0\x06;cmp dword ptr [ebp-0x40], 0x6
214;3347e7;\x75\x48;jnz 0x334831
215;3347e9;\x83\x7d\xc4\x00;cmp dword ptr [ebp-0x3c], 0x0
216;3347ed;\x75\x42;jnz 0x334831
217;3347ef;\xc7\x05\xa8\x91\x33\x00\x03\x00\x00\x00;mov dword ptr [0x3391a8], 0x3
218;3347f9;\x8b\x0d\x2c\x90\x33\x00;mov ecx, dword ptr [0x33902c]
219;3347ff;\x83\xc9\x08;or ecx, 0x8
220;334802;\x89\x0d\x2c\x90\x33\x00;mov dword ptr [0x33902c], ecx
221;334808;\xba\x04\x00\x00\x00;mov edx, 0x4
222;33480d;\xd1\xe2;shl edx, 0x1
223;33480f;\x8b\x44\x15\xf0;mov eax, dword ptr [ebp+edx*1-0x10]
224;334813;\x83\xe0\x20;and eax, 0x20
225;334816;\x74\x19;jz 0x334831
226;334818;\xc7\x05\xa8\x91\x33\x00\x05\x00\x00\x00;mov dword ptr [0x3391a8], 0x5
227;334822;\x8b\x0d\x2c\x90\x33\x00;mov ecx, dword ptr [0x33902c]
228;334828;\x83\xc9\x20;or ecx, 0x20
229;33482b;\x89\x0d\x2c\x90\x33\x00;mov dword ptr [0x33902c], ecx
230;334831;\x33\xc0;xor eax, eax
231;334833;\x5e;pop esi
232;334834;\x5b;pop ebx
233;334835;\x8b\x4d\xfc;mov ecx, dword ptr [ebp-0x4]
234;334838;\x33\xcd;xor ecx, ebp
235;33483a;\xe8\x32\xca\xff\xff;call 0x331271
236;331271;\xe9\xda\x32\x00\x00;jmp 0x334550
237;334550;\x3b\x0d\x24\x90\x33\x00;cmp ecx, dword ptr [0x339024]
238;334556;\xf2\x75\x02;bnd jnz 0x33455b
239;334559;\xf2\xc3;bnd ret 
240;33483f;\x8b\xe5;mov esp, ebp
